Date,GLD.BK_Close_Price_THB,GLD.BK_Adj_close_PriceTHB,GLD_USD/oz,USD/THB_Exchange_Rate,Federal_Funds_Effective_Rate%,TH_PriceTHB
2019-08-02,1.94,1.94,141.73,30.794,0.7561219797213337,22300.0
2019-07-26,1.85,1.85,136.41,30.676,0.7561219797213337,22300.0
2019-07-19,1.84,1.84,133.42,30.9,0.8754687373538999,22300.0
2019-07-12,1.86,1.86,136.48,30.875,0.8754687373538999,22300.0
2019-07-05,1.82,1.82,132.7,30.68,0.8754687373538999,22300.0
2019-06-28,1.81,1.81,133.63,30.646,0.8671004876833833,22300.0
2019-06-21,1.82,1.82,132.84,30.74,0.8671004876833833,22300.0
2019-06-14,1.79,1.79,131.11,31.178,0.8671004876833833,22300.0
2019-06-07,1.76,1.76,126.6,31.272,0.8671004876833833,22300.0
2019-05-31,1.76,1.76,125.88,31.365,0.8712933659434193,22300.0
2019-05-24,1.74,1.74,121.69,31.82,0.8712933659434193,22300.0
2019-05-17,1.73,1.73,121.17,31.929,0.8712933659434193,22300.0
2019-05-10,1.73,1.73,121.51,31.53,0.8712933659434193,22300.0
2019-05-03,1.73,1.73,121.2,31.78,0.8712933659434193,22300.0
2019-04-26,1.73,1.73,119.94,31.949,0.883767540168595,22300.0
2019-04-19,1.73,1.73,120.57,32.045,0.883767540168595,22300.0
2019-04-12,1.73,1.73,120.37,31.78,0.883767540168595,22300.0
2019-04-05,1.74,1.74,121.95,31.74,0.883767540168595,22300.0
2019-03-29,1.74,1.74,122.11,31.73,0.8796267475025636,22300.0
2019-03-22,1.74,1.74,121.9,31.87,0.8796267475025636,22300.0
2019-03-15,1.75,1.75,123.68,31.64,0.8796267475025636,22300.0
2019-03-08,1.74,1.74,122.41,31.572,0.8796267475025636,22300.0
2019-03-01,1.74,1.74,121.51,31.805,0.8796267475025636,22300.0
2019-02-22,1.76,1.76,123.99,31.429,0.8754687373538999,22300.0
2019-02-15,1.75,1.75,125.05,31.1,0.8754687373538999,22300.0
2019-02-08,1.73,1.73,124.06,31.35,0.8754687373538999,22300.0
2019-02-01,1.76,1.76,123.74,31.207,0.8754687373538999,22300.0
2019-01-25,1.75,1.75,124.75,31.235,0.8754687373538999,22300.0
2019-01-18,1.74,1.74,121.09,31.677,0.8754687373538999,22300.0
2019-01-11,1.73,1.73,122.11,31.639,0.8754687373538999,22300.0
2019-01-04,1.76,1.76,121.59,31.888,0.8754687373538999,22300.0
2018-12-28,1.77,1.77,122.43,32.27,0.8197798314933114,20300.0
2018-12-21,1.75,1.75,120.57,32.68,0.8197798314933114,20300.0
2018-12-14,1.75,1.75,119.24,32.736,0.8197798314933114,20300.0
2018-12-07,1.71,1.71,117.53,32.73,0.8197798314933114,20300.0
2018-11-30,1.72,1.72,117.14,32.74,0.7884573603642703,20300.0
2018-11-23,1.71,1.71,115.74,32.93,0.7884573603642703,20300.0
2018-11-16,1.71,1.71,115.86,32.9,0.7884573603642703,20300.0
2018-11-09,1.71,1.71,114.77,32.915,0.7884573603642703,20300.0
2018-11-02,1.71,1.71,115.78,32.789,0.7884573603642703,20300.0
2018-10-26,1.73,1.73,116.63,33.091,0.7839015438284094,20300.0
2018-10-19,1.74,1.74,116.4,32.94,0.7839015438284094,20300.0
2018-10-12,1.7,1.7,115.92,32.518,0.7839015438284094,20300.0
2018-10-05,1.7,1.7,115.78,32.96,0.7839015438284094,20300.0
2018-09-28,1.68,1.68,113.48,32.522,0.6678293725756554,20300.0
2018-09-21,1.68,1.68,112.05,32.44,0.6678293725756554,20300.0
2018-09-14,1.7,1.7,114.27,32.391,0.6678293725756554,20300.0
2018-09-07,1.7,1.7,113.76,32.71,0.6678293725756554,20300.0
2018-08-31,1.7,1.7,113.54,32.757,0.6471032420585384,20300.0
2018-08-24,1.7,1.7,113.64,32.66,0.6471032420585384,20300.0
2018-08-17,1.69,1.69,112.2,32.71,0.6471032420585384,20300.0
2018-08-10,1.71,1.71,111.1,33.32,0.6471032420585384,20300.0
2018-08-03,1.73,1.73,114.74,33.18,0.6471032420585384,20300.0
2018-07-27,1.74,1.74,114.52,33.149,0.6471032420585384,20300.0
2018-07-20,1.75,1.75,115.77,33.2,0.6471032420585384,20300.0
2018-07-13,1.76,1.76,115.81,33.278,0.6471032420585384,20300.0
2018-07-06,1.77,1.77,118.13,33.34,0.6471032420585384,20300.0
2018-06-29,1.77,1.77,119.05,33.14,0.598836501088704,20300.0
2018-06-22,1.77,1.77,118.22,33.01,0.598836501088704,20300.0
2018-06-15,1.78,1.78,120.05,32.82,0.598836501088704,20300.0
2018-06-08,1.79,1.79,123.38,32.11,0.598836501088704,20300.0
2018-06-01,1.77,1.77,122.86,31.89,0.598836501088704,20300.0
2018-05-25,1.78,1.78,123.1,32.03,0.5306282510621704,20300.0
2018-05-18,1.78,1.78,123.59,32.072,0.5306282510621704,20300.0
2018-05-11,1.78,1.78,122.36,31.98,0.5306282510621704,20300.0
2018-05-04,1.8,1.8,125.18,32.173,0.5306282510621704,20300.0
2018-04-27,1.78,1.78,124.28,31.77,0.5247285289349821,20300.0
2018-04-20,1.78,1.78,124.97,31.52,0.5247285289349821,20300.0
2018-04-13,1.79,1.79,127.6,31.19,0.5247285289349821,20300.0
2018-04-06,1.81,1.81,126.62,31.127,0.5247285289349821,20300.0
2018-03-30,1.78,1.78,125.8,31.213,0.412109650826833,20300.0
2018-03-23,1.78,1.78,125.79,31.278,0.412109650826833,20300.0
2018-03-16,1.78,1.78,125.98,31.135,0.412109650826833,20300.0
2018-03-09,1.77,1.77,124.9,31.144,0.412109650826833,20300.0
2018-03-02,1.78,1.78,125.42,31.307,0.412109650826833,20300.0
2018-02-23,1.78,1.78,124.72,31.473,0.35065687161316933,20300.0
2018-02-16,1.79,1.79,126.3,31.544,0.35065687161316933,20300.0
2018-02-09,1.81,1.81,128.38,31.294,0.35065687161316933,20300.0
2018-02-02,1.8,1.8,124.98,31.65,0.35065687161316933,20300.0
2018-01-26,1.81,1.81,128.07,31.32,0.34358970439007686,20300.0
2018-01-19,1.83,1.83,127.97,31.546,0.34358970439007686,20300.0
2018-01-12,1.81,1.81,125.86,31.98,0.34358970439007686,20300.0
2018-01-05,1.8,1.8,125.44,32.118,0.34358970439007686,20300.0
2017-12-29,1.81,1.81,125.46,32.322,0.26236426446749106,21200.0
2017-12-22,1.8,1.8,122.85,32.78,0.26236426446749106,21200.0
2017-12-15,1.78,1.78,120.31,32.71,0.26236426446749106,21200.0
2017-12-08,1.76,1.76,118.93,32.51,0.26236426446749106,21200.0
2017-12-01,1.75,1.75,118.49,32.61,0.26236426446749106,21200.0
2017-11-24,1.79,1.79,121.1,32.57,0.14842000511827322,21200.0
2017-11-17,1.81,1.81,122.63,32.7,0.14842000511827322,21200.0
2017-11-10,1.82,1.82,121.4,33.054,0.14842000511827322,21200.0
2017-11-03,1.82,1.82,122.13,33.11,0.14842000511827322,21200.0
2017-10-27,1.81,1.81,121.19,33.124,0.13976194237515863,21200.0
2017-10-20,1.81,1.81,120.33,33.15,0.13976194237515863,21200.0
2017-10-13,1.83,1.83,122.39,33.13,0.13976194237515863,21200.0
2017-10-06,1.83,1.83,122.89,33.162,0.13976194237515863,21200.0
2017-09-29,1.83,1.83,120.52,33.36,0.13976194237515863,21200.0
2017-09-22,1.84,1.84,122.21,33.282,0.13976194237515863,21200.0
2017-09-15,1.85,1.85,122.68,33.085,0.13976194237515863,21200.0
2017-09-08,1.88,1.88,126.16,33.117,0.13976194237515863,21200.0
2017-09-01,1.9,1.9,128.13,33.13,0.13976194237515863,21200.0
2017-08-25,1.86,1.86,125.82,33.209,0.14842000511827322,21200.0
2017-08-18,1.83,1.83,122.29,33.34,0.14842000511827322,21200.0
2017-08-11,1.83,1.83,122.49,33.241,0.14842000511827322,21200.0
2017-08-04,1.83,1.83,122.21,33.239,0.14842000511827322,21200.0
2017-07-28,1.82,1.82,120.59,33.283,0.13976194237515863,21200.0
2017-07-21,1.81,1.81,119.79,33.37,0.13976194237515863,21200.0
2017-07-14,1.81,1.81,118.24,33.582,0.13976194237515863,21200.0
2017-07-07,1.8,1.8,115.82,33.938,0.13976194237515863,21200.0
2017-06-30,1.82,1.82,116.47,34.013,0.03922071315328133,21200.0
2017-06-23,1.84,1.84,118.32,33.939,0.03922071315328133,21200.0
2017-06-16,1.85,1.85,118.92,33.965,0.03922071315328133,21200.0
2017-06-09,1.84,1.84,119.32,33.88,0.03922071315328133,21200.0
2017-06-02,1.87,1.87,121.65,34.03,0.03922071315328133,21200.0
2017-05-26,1.85,1.85,120.72,34.041,-0.09431067947124129,21200.0
2017-05-19,1.86,1.86,119.48,34.301,-0.09431067947124129,21200.0
2017-05-12,1.86,1.86,118.81,34.458,-0.09431067947124129,21200.0
2017-05-05,1.85,1.85,116.5,34.76,-0.09431067947124129,21200.0
2017-04-28,1.84,1.84,116.79,34.55,-0.10536051565782628,21200.0
2017-04-21,1.89,1.89,120.39,34.46,-0.10536051565782628,21200.0
2017-04-14,1.89,1.89,121.96,34.377,-0.10536051565782628,21200.0
2017-04-07,1.89,1.89,122.6,34.386,-0.10536051565782628,21200.0
2017-03-31,1.88,1.88,119.18,34.55,-0.23572233352106983,21200.0
2017-03-24,1.84,1.84,118.47,34.403,-0.23572233352106983,21200.0
2017-03-17,1.86,1.86,118.67,34.576,-0.23572233352106983,21200.0
2017-03-10,1.86,1.86,116.73,35.021,-0.23572233352106983,21200.0
2017-03-03,1.83,1.83,114.47,35.27,-0.23572233352106983,21200.0
2017-02-24,1.85,1.85,117.58,35.01,-0.4155154439616658,21200.0
2017-02-17,1.88,1.88,118.94,35.0,-0.4155154439616658,21200.0
2017-02-10,1.87,1.87,118.08,34.99,-0.4155154439616658,21200.0
2017-02-03,1.86,1.86,117.29,35.02,-0.4155154439616658,21200.0
2017-01-27,1.85,1.85,115.84,35.11,-0.4307829160924542,21200.0
2017-01-20,1.8,1.8,113.26,35.19,-0.4307829160924542,21200.0
2017-01-13,1.84,1.84,114.77,35.42,-0.4307829160924542,21200.0
2017-01-06,1.84,1.84,113.91,35.41,-0.4307829160924542,21200.0
2016-12-30,1.83,1.83,112.58,35.787,-0.616186139423817,22800.0
2016-12-23,1.8,1.8,110.29,35.99,-0.616186139423817,22800.0
2016-12-16,1.77,1.77,107.59,35.945,-0.616186139423817,22800.0
2016-12-09,1.77,1.77,107.34,35.597,-0.616186139423817,22800.0
2016-12-02,1.8,1.8,111.57,35.59,-0.616186139423817,22800.0
2016-11-25,1.82,1.82,111.54,35.685,-0.8915981192837836,22800.0
2016-11-18,1.84,1.84,113.25,35.69,-0.8915981192837836,22800.0
2016-11-11,1.87,1.87,116.17,35.438,-0.8915981192837836,22800.0
2016-11-04,1.93,1.93,119.75,35.05,-0.8915981192837836,22800.0
2016-10-28,1.96,1.96,124.3,34.94,-0.916290731874155,22800.0
2016-10-21,1.94,1.94,121.01,34.983,-0.916290731874155,22800.0
2016-10-14,1.95,1.95,120.74,34.85,-0.916290731874155,22800.0
2016-10-07,1.95,1.95,120.03,35.68,-0.916290731874155,22800.0
2016-09-30,1.94,1.94,119.66,34.792,-0.916290731874155,22800.0
2016-09-23,1.99,1.99,126.07,34.55,-0.916290731874155,22800.0
2016-09-16,1.99,1.99,127.57,34.638,-0.916290731874155,22800.0
2016-09-09,1.98,1.98,125.37,34.842,-0.916290731874155,22800.0
2016-09-02,2.0,2.0,127.59,34.605,-0.916290731874155,22800.0
2016-08-26,1.97,1.97,125.29,34.62,-0.916290731874155,22800.0
2016-08-19,2.0,2.0,126.23,34.63,-0.916290731874155,22800.0
2016-08-12,2.03,2.03,129.11,34.625,-0.916290731874155,22800.0
2016-08-05,2.04,2.04,127.67,34.732,-0.916290731874155,22800.0
2016-07-29,2.06,2.06,129.87,34.978,-0.941608539858445,22800.0
2016-07-22,2.03,2.03,127.66,34.875,-0.941608539858445,22800.0
2016-07-15,2.03,2.03,127.3,35.025,-0.941608539858445,22800.0
2016-07-08,2.02,2.02,127.33,35.157,-0.941608539858445,22800.0
2016-07-01,2.05,2.05,129.74,35.169,-0.941608539858445,22800.0
2016-06-24,1.99,1.99,126.47,35.113,-0.9675840262617056,22800.0
2016-06-17,1.99,1.99,120.11,35.161,-0.9675840262617056,22800.0
2016-06-10,1.96,1.96,122.38,35.218,-0.9675840262617056,22800.0
2016-06-03,1.93,1.93,121.25,35.068,-0.9675840262617056,22800.0
2016-05-27,1.91,1.91,115.67,35.643,-0.9942522733438669,22800.0
2016-05-20,1.92,1.92,116.58,35.611,-0.9942522733438669,22800.0
2016-05-13,1.95,1.95,119.87,35.698,-0.9942522733438669,22800.0
2016-05-06,1.95,1.95,121.16,35.233,-0.9942522733438669,22800.0
2016-04-29,1.95,1.95,122.07,35.098,-0.9942522733438669,22800.0
2016-04-22,1.92,1.92,121.29,35.099,-0.9942522733438669,22800.0
2016-04-15,1.91,1.91,119.42,34.861,-0.9942522733438669,22800.0
2016-04-08,1.91,1.91,117.11,35.044,-0.9942522733438669,22800.0
2016-04-01,1.9,1.9,118.61,35.183,-0.9942522733438669,22800.0
2016-03-25,1.88,1.88,117.64,35.222,-1.0216512475319814,22800.0
2016-03-18,1.88,1.88,116.33,35.205,-1.0216512475319814,22800.0
2016-03-11,1.9,1.9,120.13,34.978,-1.0216512475319814,22800.0
2016-03-04,1.94,1.94,121.5,35.248,-1.0216512475319814,22800.0
2016-02-26,1.93,1.93,120.73,35.513,-0.9675840262617056,22800.0
2016-02-19,1.91,1.91,117.92,35.679,-0.9675840262617056,22800.0
2016-02-12,1.89,1.89,118.29,35.58,-0.9675840262617056,22800.0
2016-02-05,1.93,1.93,119.06,35.276,-0.9675840262617056,22800.0
2016-01-29,1.79,1.79,110.57,35.642,-1.0788096613719298,22800.0
2016-01-22,1.75,1.75,106.54,35.795,-1.0788096613719298,22800.0
